Sex,Pclass,Name,Siblings/Spouses Aboard,Fare,Age,Parents/Children Aboard,Survived
1,3,601,1,0.014151057562208049,0.26887684356485564,0,0
0,1,822,1,0.13913573538264068,0.4705659901676541,0,1
0,3,171,0,0.015468569817999833,0.3192991302155552,0,1
0,1,813,1,0.10364429745562033,0.43274927517962936,0,1
1,3,732,0,0.015712553569072387,0.43274927517962936,0,0
1,3,463,0,0.01650950209357577,0.3319047018782302,0,0
1,1,699,0,0.10122885832000206,0.6722551367704526,0,0
1,3,32,3,0.04113566043083236,0.01676541031135762,1,0
0,3,841,0,0.021730754366528396,0.3319047018782302,2,1
0,2,838,1,0.058694292654020104,0.16803227026345646,0,1
0,3,193,1,0.03259622914329302,0.04197655363670742,1,1
0,1,114,0,0.051822148727810165,0.7226774234211522,0,1
1,3,735,0,0.015712553569072387,0.24366570023950587,0,0
1,3,266,1,0.06104473451835265,0.483171561830329,5,0
0,3,151,0,0.015330377421392339,0.16803227026345646,0,0
0,2,764,0,0.03122992013728673,0.6848607084331274,0,1
1,3,27,4,0.05684821399990475,0.01676541031135762,1,0
1,2,304,0,0.025374310111545468,0.28148241522753054,0,1
0,3,831,1,0.03513366015444757,0.38232698852892977,0,0
0,3,793,0,0.014102260811993537,0.26887684356485564,0,1
1,2,508,0,0.050748620223090936,0.43274927517962936,0,0
1,2,536,0,0.025374310111545468,0.42014370351695446,0,1
0,3,72,0,0.015671954672893913,0.18063784192613136,0,1
1,1,748,0,0.06929138530460494,0.3445102735409051,0,1
0,3,233,3,0.04113566043083236,0.09239884028740704,1,0
0,3,775,1,0.06126431989431795,0.4705659901676541,5,1
1,3,369,0,0.014102260811993537,0.3192991302155552,0,0
1,1,301,3,0.5133418122566507,0.23106012857683098,2,0
0,3,121,0,0.01537917417160685,0.29408798689020543,0,1
1,3,535,0,0.015411575213749286,0.28148241522753054,0,0
1,1,3,0,0.05410739813385612,0.4957771334930039,0,0
0,1,872,1,0.2859895551532101,0.5966217067944031,0,1
0,3,204,0,0.015126992566498259,0.21845455691415605,0,1
1,2,337,0,0.020494635090094415,0.8235219967225513,0,0
1,1,330,1,0.16038672010106003,0.3445102735409051,0,0
1,1,252,1,0.10149724044618187,0.5209882768183537,0,0
1,3,411,0,0.014110458666029575,0.21845455691415605,0,1
1,3,356,0,0.015712553569072387,0.25627127190218074,0,0
0,3,85,2,0.03513366015444757,0.21845455691415605,0,0
0,3,155,1,0.021942337075458514,0.16803227026345646,0,1
0,3,819,1,0.018493968331299484,0.4957771334930039,0,0
0,2,876,1,0.04098927018018883,0.3319047018782302,0,0
0,2,226,1,0.08115719346076702,0.02937098197403252,2,1
0,3,186,0,0.01537917417160685,0.23106012857683098,0,1
1,3,743,0,0.015712553569072387,0.36972141686625487,0,0
1,3,324,1,0.030253985132996517,0.24366570023950587,0,0
0,3,94,0,0.015126992566498259,0.3319047018782302,0,1
1,3,751,2,0.04231498029001666,0.19324341358880626,0,0
0,3,826,1,0.034743286152731485,0.21845455691415605,0,0
1,3,40,4,0.07746484096553544,0.07979326862473214,1,0
1,3,637,0,0.01522458606692728,0.25627127190218074,0,0
0,1,809,1,0.1497654242623688,0.609227278457078,0,1
0,2,834,1,0.050748620223090936,0.35711584520358,0,1
1,1,352,0,0.1209753416358076,0.8109164250598765,1,0
1,1,438,0,0.06929138530460494,0.5714105634690533,0,1
0,2,127,0,0.020494635090094415,0.25627127190218074,0,1
1,3,555,0,0.014110458666029575,0.3508130593722425,0,0
0,2,102,1,0.05416439273810667,0.05458212529938233,2,1
1,3,51,5,0.09154270340242172,0.13021555527543174,2,0
1,3,598,0,0.014110458666029575,0.26887684356485564,0,0
0,1,67,0,0.15614960068643363,0.4705659901676541,0,1
1,1,423,1,0.16293234896625058,0.5588049918063784,0,0
1,3,34,3,0.05445717323939373,0.04197655363670742,2,0
1,1,246,0,0.05410739813385612,0.7983108533972015,0,0
1,3,31,1,0.029757819776815374,0.07979326862473214,1,1
0,2,759,0,0.020494635090094415,0.35711584520358,0,1
1,3,357,0,0.015923941091001644,0.23106012857683098,0,0
0,3,128,4,0.015468569817999833,0.20584898525148115,2,1
1,3,711,2,0.016908073949327893,0.3192991302155552,0,0
1,2,676,0,0.020494635090094415,0.39493256019160466,0,0
0,3,173,5,0.09154270340242172,0.19324341358880626,2,0
1,2,264,0,0.1434624456306609,0.25627127190218074,0,0
1,3,275,1,0.028212719478023115,0.3192991302155552,0,0
1,3,538,0,0.11027245763075773,0.39493256019160466,0,1
1,3,668,0,0.014931805565640218,0.30669355855288033,0,0
1,3,447,0,0.015411575213749286,0.28148241522753054,0,0
1,3,628,0,0.015712553569072387,0.3445102735409051,0,0
1,2,15,0,0.056604230248832196,0.0020168914660279834,2,1
0,3,115,0,0.024349578357040744,0.36972141686625487,0,1
1,3,241,0,0.017566830077223785,0.26887684356485564,0,0
1,3,467,0,0.018542765081513996,0.35711584520358,0,1
0,3,95,0,0.015200187691820024,0.38232698852892977,0,1
1,1,375,0,0.09193307740413781,0.3445102735409051,0,0
0,2,89,0,0.020494635090094415,0.20584898525148115,0,1
0,3,832,3,0.030937139635999665,0.40753813185427956,0,1
1,3,745,1,0.06709553154495196,0.19324341358880626,3,0
1,3,665,0,0.015712553569072387,0.24366570023950587,0,0
0,1,179,3,0.5133418122566507,0.28148241522753054,2,1
1,3,371,0,0.015712553569072387,0.29408798689020543,0,0
1,3,349,0,0.015712553569072387,0.35711584520358,0,0
1,3,607,0,0.015330377421392339,0.24366570023950587,0,0
1,1,433,1,0.11940564777490723,0.5714105634690533,0,0
1,3,294,1,0.04015972542654215,0.3192991302155552,2,0
1,3,316,0,0.014151057562208049,0.735282995083827,0,0
1,3,311,0,0.015712553569072387,0.26887684356485564,0,0
1,1,390,0,0.06764049365134761,0.8865498550359259,0,0
1,1,725,0,0.12366716556464086,0.28148241522753054,1,1
0,2,825,0,0.044893010197349675,0.42014370351695446,1,1
1,2,670,1,0.050748620223090936,0.42014370351695446,0,0
0,3,214,0,0.015411575213749286,0.3445102735409051,0,0
1,3,602,0,0.015411575213749286,0.35711584520358,0,0
1,1,638,0,0.15085515328815924,0.25627127190218074,1,0
1,3,406,0,0.016891873428256675,0.40753813185427956,0,0
1,3,267,2,0.015468569817999833,0.45796041850497915,0,0
1,3,680,0,0.015411575213749286,0.3445102735409051,0,0
0,3,71,0,0.014931805565640218,0.25627127190218074,0,1
1,3,249,0,0.015175789316712771,0.35711584520358,0,1
1,3,698,0,0.015411575213749286,0.4705659901676541,0,0
