workingday,atemp,hr,yr,season,dteday,mnth,weekday,hum,weathersit,windspeed,holiday,casual
0,0.2879,0,0,1,0,1,6,0.81,1,0.0,0,3
0,0.2727,1,0,1,0,1,6,0.8,1,0.0,0,8
0,0.2727,2,0,1,0,1,6,0.8,1,0.0,0,5
0,0.2879,3,0,1,0,1,6,0.75,1,0.0,0,3
0,0.2879,4,0,1,0,1,6,0.75,1,0.0,0,0
0,0.2576,5,0,1,0,1,6,0.75,2,0.10532502644880687,0,0
0,0.2727,6,0,1,0,1,6,0.8,1,0.0,0,2
0,0.2576,7,0,1,0,1,6,0.86,1,0.0,0,1
0,0.2879,8,0,1,0,1,6,0.75,1,0.0,0,1
0,0.3485,9,0,1,0,1,6,0.76,1,0.0,0,8
0,0.3939,10,0,1,0,1,6,0.76,1,0.298224991183731,0,12
0,0.3333,11,0,1,0,1,6,0.81,1,0.33337251675091106,0,26
0,0.4242,12,0,1,0,1,6,0.77,1,0.33337251675091106,0,29
0,0.4545,13,0,1,0,1,6,0.72,2,0.3508875044081345,0,47
0,0.4545,14,0,1,0,1,6,0.72,2,0.33337251675091106,0,35
0,0.4394,15,0,1,0,1,6,0.77,2,0.3508875044081345,0,40
0,0.4242,16,0,1,0,1,6,0.82,2,0.3508875044081345,0,41
0,0.4394,17,0,1,0,1,6,0.82,2,0.33337251675091106,0,15
0,0.4242,18,0,1,0,1,6,0.88,3,0.298224991183731,0,9
0,0.4242,19,0,1,0,1,6,0.88,3,0.298224991183731,0,6
0,0.4091,20,0,1,0,1,6,0.87,2,0.298224991183731,0,11
0,0.4091,21,0,1,0,1,6,0.87,2,0.22804749030210414,0,3
0,0.4091,22,0,1,0,1,6,0.94,2,0.2631950158692841,0,11
0,0.4545,23,0,1,0,1,6,0.88,2,0.3508875044081345,0,15
0,0.4545,0,0,1,1,1,0,0.88,2,0.3508875044081345,0,4
0,0.4394,1,0,1,1,1,0,0.94,2,0.298224991183731,0,1
0,0.4242,2,0,1,1,1,0,1.0,2,0.33337251675091106,0,1
0,0.4545,3,0,1,1,1,0,0.94,2,0.22804749030210414,0,2
0,0.4545,4,0,1,1,1,0,0.94,2,0.22804749030210414,0,2
0,0.4242,6,0,1,1,1,0,0.77,3,0.3508875044081345,0,0
0,0.4091,7,0,1,1,1,0,0.76,2,0.22804749030210414,0,0
0,0.4091,8,0,1,1,1,0,0.71,3,0.2631950158692841,0,0
0,0.3939,9,0,1,1,1,0,0.76,2,0.2631950158692841,0,1
0,0.3485,10,0,1,1,1,0,0.81,2,0.2631950158692841,0,7
0,0.3333,11,0,1,1,1,0,0.71,2,0.298224991183731,0,16
0,0.3333,12,0,1,1,1,0,0.66,2,0.3508875044081345,0,20
