hr,workingday,yr,dteday,atemp,season,weathersit,weekday,hum,mnth,windspeed,holiday,registered
0,0,0,0,0.2879,1,1,6,0.81,1,0.0,0,13
1,0,0,0,0.2727,1,1,6,0.8,1,0.0,0,32
2,0,0,0,0.2727,1,1,6,0.8,1,0.0,0,27
3,0,0,0,0.2879,1,1,6,0.75,1,0.0,0,10
4,0,0,0,0.2879,1,1,6,0.75,1,0.0,0,1
5,0,0,0,0.2576,1,2,6,0.75,1,0.10532502644880687,0,1
6,0,0,0,0.2727,1,1,6,0.8,1,0.0,0,0
7,0,0,0,0.2576,1,1,6,0.86,1,0.0,0,2
8,0,0,0,0.2879,1,1,6,0.75,1,0.0,0,7
9,0,0,0,0.3485,1,1,6,0.76,1,0.0,0,6
10,0,0,0,0.3939,1,1,6,0.76,1,0.298224991183731,0,24
11,0,0,0,0.3333,1,1,6,0.81,1,0.33337251675091106,0,30
12,0,0,0,0.4242,1,1,6,0.77,1,0.33337251675091106,0,55
13,0,0,0,0.4545,1,2,6,0.72,1,0.3508875044081345,0,47
14,0,0,0,0.4545,1,2,6,0.72,1,0.33337251675091106,0,71
15,0,0,0,0.4394,1,2,6,0.77,1,0.3508875044081345,0,70
16,0,0,0,0.4242,1,2,6,0.82,1,0.3508875044081345,0,52
17,0,0,0,0.4394,1,2,6,0.82,1,0.33337251675091106,0,52
18,0,0,0,0.4242,1,3,6,0.88,1,0.298224991183731,0,26
19,0,0,0,0.4242,1,3,6,0.88,1,0.298224991183731,0,31
20,0,0,0,0.4091,1,2,6,0.87,1,0.298224991183731,0,25
21,0,0,0,0.4091,1,2,6,0.87,1,0.22804749030210414,0,31
22,0,0,0,0.4091,1,2,6,0.94,1,0.2631950158692841,0,17
23,0,0,0,0.4545,1,2,6,0.88,1,0.3508875044081345,0,24
0,0,0,1,0.4545,1,2,0,0.88,1,0.3508875044081345,0,13
1,0,0,1,0.4394,1,2,0,0.94,1,0.298224991183731,0,16
2,0,0,1,0.4242,1,2,0,1.0,1,0.33337251675091106,0,8
3,0,0,1,0.4545,1,2,0,0.94,1,0.22804749030210414,0,4
4,0,0,1,0.4545,1,2,0,0.94,1,0.22804749030210414,0,1
6,0,0,1,0.4242,1,3,0,0.77,1,0.3508875044081345,0,2
7,0,0,1,0.4091,1,2,0,0.76,1,0.22804749030210414,0,1
8,0,0,1,0.4091,1,3,0,0.71,1,0.2631950158692841,0,8
9,0,0,1,0.3939,1,2,0,0.76,1,0.2631950158692841,0,19
10,0,0,1,0.3485,1,2,0,0.81,1,0.2631950158692841,0,46
11,0,0,1,0.3333,1,2,0,0.71,1,0.298224991183731,0,54
12,0,0,1,0.3333,1,2,0,0.66,1,0.3508875044081345,0,73
